Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,0.652,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.376,
bus,Constant,,1.04,
bus,bus_skim.[In-Vehicle Time],,-0.025,
bus,bus_skim.Fare,,-0.708,
bus,bus_skim.[Access Walk Time],,-0.0305,
bus,bus_skim.[Initial Wait Time],,-0.0305,
bus,bus_skim.[Egress Walk Time],,-0.0305,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.376,
walk,Constant,,2.81,
walk,walk_skim.Time,,-0.0514,
walk,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.71,
bike,Constant,,-3.78,
bike,bike_skim.Time,,-0.0514,
bike,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.71,
rail,Constant,,1.04,
rail,Constant,,0.55,22 mins bonus
rail,rail_skim.[In-Vehicle Time] * .8,,-0.025,
rail,rail_skim.Fare,,-0.708,
rail,rail_skim.[Access Walk Time],,-0.0305,
rail,rail_skim.[Initial Wait Time],,-0.0305,
rail,rail_skim.[Egress Walk Time],,-0.0305,
