Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.33,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.765,
bus,Constant,,2.91,
bus,bus_skim.[In-Vehicle Time],,-0.025,
bus,bus_skim.Fare,,-2.03,
bus,bus_skim.[Access Walk Time],,-0.0492,
bus,bus_skim.[Initial Wait Time],,-0.0492,
bus,bus_skim.[Egress Walk Time],,-0.0492,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.765,
walk,Constant,,3.38,
walk,walk_skim.Time,,-0.0583,
walk,iz_skim.IZ,,-0.636,
walk,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.32,
bike,Constant,,-2.31,
bike,bike_skim.Time,,-0.0583,
bike,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.32,
rail,Constant,,2.91,
rail,Constant,,0.55,22 mins bonus
rail,rail_skim.[In-Vehicle Time] * .8,,-0.025,
rail,rail_skim.Fare,,-2.03,
rail,rail_skim.[Access Walk Time],,-0.0492,
rail,rail_skim.[Initial Wait Time],,-0.0492,
rail,rail_skim.[Egress Walk Time],,-0.0492,
